full_event_name,count
Aria.d5a8f02229be41efb047bd8f883ba799.Error,1
Aria.d5a8f02229be41efb047bd8f883ba799.FlightingChanged,1
Aria.d5a8f02229be41efb047bd8f883ba799.Pulse,1
Aria.d5a8f02229be41efb047bd8f883ba799.ScopedCriticalTask,2
Aria.d5a8f02229be41efb047bd8f883ba799.SessionIdCorrelation,2
Aria.d5a8f02229be41efb047bd8f883ba799.SyncHealthHourly,1
Aria.d5a8f02229be41efb047bd8f883ba799.Trace,11
B9B2DE3C-3FBD-4F42-8FF7-33C3BAD35FD4.1_0,21
B9B2DE3C-3FBD-4F42-8FF7-33C3BAD35FD4.2_0,287
CbsServicingProvider.CBSReadCustomInformation,114
CbsServicingProvider.CapabilityChange,11
CbsServicingProvider.CbsCapabilitySessionFinalize,38
CbsServicingProvider.CbsCapabilitySessionPended,36
CbsServicingProvider.CbsExecutionInitialized,47
CbsServicingProvider.CbsPackageChangeBeginV3,46
CbsServicingProvider.CbsPackageChangeEndV2,12
CbsServicingProvider.CbsPackageRemoval,2
CbsServicingProvider.CbsQualityUpdateInstall,2
CbsServicingProvider.CbsScavengeSession,3
CbsServicingProvider.CbsSelectableUpdateChangeV2,20
Census.App,16
Census.Battery,16
Census.Enterprise,16
Census.Firmware,16
Census.Flighting,16
Census.Hardware,16
Census.Memory,16
Census.Network,16
Census.OS,16
Census.PrivacySettings,16
Census.Processor,16
Census.Security,16
Census.Speech,16
Census.Storage,16
Census.UserDisplay,2
Census.UserNLS,2
Census.UserPrivacySettings,2
Census.Userdefault,2
Census.VM,16
Census.WU,16
CombaseTraceLoggingProvider.DesktopAppxComActivation,112
CombaseTraceLoggingProvider.PrivateUserHiveLoadKeyFailed,64
CombaseTraceLoggingProvider.RoFailFastCalled,1
CombaseTraceLoggingProvider.RoFailFastWithSignature,1
D1F688BF-012F-4AEC-A38C-E7D4649F8CD2.102_0,43
D1F688BF-012F-4AEC-A38C-E7D4649F8CD2.104_0,31
D37687E7-8BF0-4D11-B589-A7ABE080756A.3_0,9
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.10_0,4
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.5007_2,3
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6103_0,15
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6104_0,15
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6105_0,2
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6106_0,18
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6107_0,2
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6108_0,1
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6109_0,1
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6111_0,1
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6112_0,17
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6113_0,6
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6116_0,15
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.801_0,4
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.802_0,4
DotNet.CLR.SKUOrVersion,701
DxgKrnlTelemetry.AllocatedContent,1344
DxgKrnlTelemetry.BddDiag,1
DxgKrnlTelemetry.ClientRunningTime,951
DxgKrnlTelemetry.Commit.LongPagingPacket,44
DxgKrnlTelemetry.DisplayConnectivityNotification,40
DxgKrnlTelemetry.DisplayInventoryV2,26
DxgKrnlTelemetry.FragmentationStatistics,1
DxgKrnlTelemetry.GPUAdapterInventoryV2,37
DxgKrnlTelemetry.GPUAdapterStop,2
DxgKrnlTelemetry.OpenVirtualGpu,1
DxgKrnlTelemetry.PagingTime_AttemptCount,2
DxgKrnlTelemetry.PagingTime_DefragmentationData,2
DxgKrnlTelemetry.PagingTime_DemotionData,2
DxgKrnlTelemetry.PagingTime_EvictionData,2
DxgKrnlTelemetry.PagingTime_PagingTimingData,2
DxgKrnlTelemetry.PagingTime_ProbeAndLockData,2
DxgKrnlTelemetry.PagingTime_SuspensionData,2
DxgKrnlTelemetry.PagingTime_UnlockData,2
DxgKrnlTelemetry.PurgeContent,1
DxgKrnlTelemetry.VSyncTimeStats,12
DxgKrnlTelemetry.VidSchiMarkDeviceAsError,4
DxgKrnlTelemetry.VirtualGpuCreation,1
F0BE35F8-237B-4814-86B5-ADE51192E503.3000_0,33
F0BE35F8-237B-4814-86B5-ADE51192E503.3001_0,33
FB19EE2C-0D22-4A2E-969E-DD41AE0CE1A9.2001_0,13
FB19EE2C-0D22-4A2E-969E-DD41AE0CE1A9.2_0,43
FveAPILoggingProvider.BitLocker.FveApi.LicenseCheck,86
FveDetectTelemetry.FveCheckSuspendBitLockerOnUpgrade,2
