Win10 full_event_name,count
178DADAF-7AC4-4593-AB3E-A45FDA6D0D55.5204_0,2
178DADAF-7AC4-4593-AB3E-A45FDA6D0D55.5205_0,2
206F6DEA-D3C5-4D10-BC72-989F03C8B84B.6002_1,1
315A8872-923E-4EA2-9889-33CD4754BF64.101_0,4
315A8872-923E-4EA2-9889-33CD4754BF64.102_0,8
315A8872-923E-4EA2-9889-33CD4754BF64.5901_1,711
315A8872-923E-4EA2-9889-33CD4754BF64.5902_1,711
315A8872-923E-4EA2-9889-33CD4754BF64.5977_0,16
315A8872-923E-4EA2-9889-33CD4754BF64.5978_0,36
331C3B3A-2005-44C2-AC5E-77220C37D6B4.109_0,1
331C3B3A-2005-44C2-AC5E-77220C37D6B4.140_0,4
331C3B3A-2005-44C2-AC5E-77220C37D6B4.149_0,4
331C3B3A-2005-44C2-AC5E-77220C37D6B4.150_0,8
52FC89F8-995E-434C-A91E-199986449890.12550_0,11
52FC89F8-995E-434C-A91E-199986449890.129_0,1
52FC89F8-995E-434C-A91E-199986449890.1_0,1
52FC89F8-995E-434C-A91E-199986449890.2_0,1
56F519AB-9DF6-4345-8491-A4BA21AC825B.2000_0,9
73A33AB2-1966-4999-8ADD-868C41415269.1_0,11
73A33AB2-1966-4999-8ADD-868C41415269.2_0,5
73A33AB2-1966-4999-8ADD-868C41415269.3_0,1
73A33AB2-1966-4999-8ADD-868C41415269.5_0,23
8127F6D4-59F9-4ABF-8952-3E3A02073D5F.302_0,2
8C416C79-D49B-4F01-A467-E56D3AA8234C.37_0,16
8C416C79-D49B-4F01-A467-E56D3AA8234C.416_0,1012
8C416C79-D49B-4F01-A467-E56D3AA8234C.417_0,1487
93C05D69-51A3-485E-877F-1806A8731346.16001_0,64
93C05D69-51A3-485E-877F-1806A8731346.16002_0,64
93C05D69-51A3-485E-877F-1806A8731346.16005_0,36
93C05D69-51A3-485E-877F-1806A8731346.16006_0,36
96AC7637-5950-4A30-B8F7-E07E8E5734C1.501_0,2
9C205A39-1250-487D-ABD7-E831C6290539.276_0,67
9C205A39-1250-487D-ABD7-E831C6290539.277_0,67
AC52AD17-CC01-4F85-8DF5-4DCE4333C99B.43_2,13
ActivationManager.AAMActivationCreateProcess,74
ActivationManager.AAMShim_ActivationStart,295
ActivationManager.AAMShim_ActivationStop,298
ActivationManager.ActivationPerfStats,298
Aria.15cbbc93e90a4d56bf8d9a29305b8981.reportdata,183
Aria.15cbbc93e90a4d56bf8d9a29305b8981.trace,98
Aria.15cbbc93e90a4d56bf8d9a29305b8981.undefined,6
Aria.15cbbc93e90a4d56bf8d9a29305b8981.unexpected,1
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_BeforeNavigateExtended,70
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_BrowserInfo,15
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrl,23
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrlEx,57
