Win11 full_event_name,count
KernelGeneral.HvInfo,1
KernelGeneral.LeapSecondDataUpdate,1
KernelGeneral.SystemShutdown,1
KernelGeneral.SystemStart,1
KernelGeneral.SystemTimeChange,6
KernelGeneral.TimeZoneBiasChange,1
KernelProcess.AppStateChangeSummary,457
LSM.ConnectTime,2
LSM.DisconnectTime,2
LSM.LogonTime,9
LSM.RDSHTelemetryListeners,1
LSM.SessionArbitration,27
LSM.TerminalClass,3
LSM.TerminalType,2
MSAClientTraceLoggingProvider.AcquireTokens,123
MSAClientTraceLoggingProvider.CloudAP_WLIDCAcquireTokensEx,1
MSAClientTraceLoggingProvider.GetPoPTokens,32
MSAClientTraceLoggingProvider.HandleGetProofOfPossessionTokens,14
MSAClientTraceLoggingProvider.IdleCallback,30
MSAClientTraceLoggingProvider.NetworkCallDetails,41
MSAClientTraceLoggingProvider.ServerErrors,1
MSAClientTraceLoggingProvider.ServiceStop,30
MSAClientTraceLoggingProvider.SkipTokenUpdateOnProfileLoadInfo,18
MSAClientTraceLoggingProvider.TpmUpdateRequired,268
MSAClientTraceLoggingProvider.WLIDSvcCredDelete,2
MSAClientTraceLoggingProvider.WLIDSvcNegativeCache,1
Microsoft-Windows-BITS-Client.JobCompleted,10
Microsoft-Windows-BITS-Client.ServiceShutdown,10
Microsoft-Windows-BITS-Client.ServiceStartup,10
Microsoft-Windows-Desktop-ApplicationFrame.AfterShowWindow,65
Microsoft-Windows-Desktop-ApplicationFrame.ApplicationFrame_Initialize,130
Microsoft-Windows-Desktop-ApplicationFrame.BeforeShowWindow,65
Microsoft-Windows-Desktop-ApplicationFrame.FadeOutCurrentSystemVisual,12
Microsoft-Windows-Desktop-ApplicationFrame.MoveSizeLoop,6
Microsoft-Windows-Desktop-ApplicationFrame.ThemeAwareSplashScreenColorDetected,25
Microsoft-Windows-Desktop-ApplicationManager.AppFrameHostStartup,20
Microsoft-Windows-Desktop-ApplicationManager.SplashScreenSuppressed,4
Microsoft-Windows-Desktop-Shell-Personalization.WallpaperUpdatedViaUpdateImageToSystemSetting,11
Microsoft-Windows-Desktop-Shell-Windowing.DismissMultitaskingView,12
Microsoft-Windows-Desktop-Shell-Windowing.PositionViewForActivation,28
Microsoft-Windows-Desktop-Shell-Windowing.SnapFlyoutInvoke,7
Microsoft-Windows-Desktop-Shell-Windowing.TMCSwitchMode,12
Microsoft-Windows-Desktop-Shell-Windowing.TabletModeSettings,9
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostExtendedUIInvoked,25
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostFoundPinnedSites,10
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostThumbnailRequested,4
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostTimestampUpdateCanceled,1
Microsoft-Windows-DispBroker.DisplayStateFunctionalize,68
Microsoft-Windows-FileHistory-ConfigMgr.FHInterfaceUsage(Aggregate),9
Microsoft-Windows-Fundamentals-PilotsHub.InsidersHubLaunch,1
Microsoft-Windows-Fundamentals-PilotsHub.InsidersHubNavigationInfo,2
Microsoft-Windows-Fundamentals-PilotsHub.PilotsHubEventInfo,7
Microsoft-Windows-Fundamentals-PilotsHub.PilotsHubOnLaunched,1
Microsoft-Windows-Kernel-Mm.NonRetpolineSystemImageLoadedAggregate,10
Microsoft-Windows-Kernel-Mm.SystemImagePinAddressAggregate,3
Microsoft-Windows-Networking-BackgroundTransfer.TransferStarted,3
Microsoft-Windows-Networking-BackgroundTransfer.TransferSucceeded,3
Microsoft-Windows-Shell-CortanaProactive.ActivityError,15
Microsoft-Windows-Shell-CortanaProactive.CortanaStoreApp_CortanaAvailable,30
Microsoft-Windows-Shell-CortanaProactive.Cortana_AllowedOnSKU,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_AppInstalled,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_CortanaAvailable,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_DeveloperOverride,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_EnterprisePolicyEnabled,15
Microsoft-Windows-Shell-Launcher.ActivityError,30
Microsoft-Windows-Shell-Launcher.ActivityIntermediateStop,9
Microsoft-Windows-Shell-Launcher.AllAppsSessionCompleted,9
Microsoft-Windows-Shell-Launcher.AppLaunch,10
Microsoft-Windows-Shell-Launcher.CortanaLauncherInvokeActivity,26
Microsoft-Windows-Shell-Launcher.ExplorerHandshakeFailedWhenSettingShellExperienceProperties,1
Microsoft-Windows-Shell-Launcher.LauncherClosed,9
Microsoft-Windows-Shell-Launcher.LauncherInvokeActivity,18
Microsoft-Windows-Shell-Launcher.LauncherOpened,9
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuDefaultConsole,5
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuExecuteCommand,10
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuExecuteShutdownCommand,4
Microsoft-Windows-Shell-Launcher.PinInvoked,3
Microsoft-Windows-Shell-Launcher.PinnedItemAction,3
Microsoft-Windows-Shell-Launcher.RecommendedItemAction,5
Microsoft-Windows-Shell-Launcher.RecommendedItemCensus,9
Microsoft-Windows-Shell-Launcher.StartPropertiesOnOpened,9
Microsoft-Windows-Shell-Launcher.StartScreen_Readiness,10
Microsoft-Windows-Shell-Launcher.StartScreen_TimeToReady,20
Microsoft-Windows-Shell-Launcher.SuggestedFilesUpdateAttempt,19
Microsoft-Windows-Shell-Launcher.SystemListItemEnumeration,4
Microsoft-Windows-Shell-Launcher.TerminateSelfBecauseExplorerExited,1
Microsoft-Windows-Shell-Launcher.WindowsUpdatePendingStateChanged,8
Microsoft-Windows-Shell-Taskbar.PostureChanged,10
Microsoft-Windows-Shell-Taskbar.SystemHoverDismissed,7
Microsoft-Windows-Shell-Taskbar.SystemPinButtonClicked,23
Microsoft-Windows-Shell-Taskbar.SystemPinButtonHovered,44
Microsoft-Windows-Shell-Taskbar.TaskListButtonPrepared,75
Microsoft-Windows-ShutdownUX.ShutdownUX_ViewModel_Activity,8
Microsoft-Windows-Store.ContentUpdate,23
Microsoft-Windows-Store.OutgoingServiceRequest,328
Microsoft-Windows-Store.PageAction,18
Microsoft-Windows-Store.PageView,5
Microsoft-Windows-Store.ReportError,15
Microsoft-Windows-Store.ReportExceptionCaught,29
Microsoft-Windows-Store.ReportExceptionThrown,9
Microsoft-Windows-Store.SearchBoxResponsive,2
Microsoft-Windows-Store.StoreBackgroundTask,12
Microsoft-Windows-Store.StoreLaunched,2
Microsoft-Windows-Store.StoreLaunching,2
Microsoft-Windows-Sysmain-Prefetch.PfIuPredictionStats,68
Microsoft-Windows-Sysmain-Prefetch.PfResPriPrefetchDbStats,13
Microsoft-Windows-Sysmain-Prefetch.PfResPriPrefetchStats,14
Microsoft-Windows-TCPIP.Histogram,3
Microsoft-Windows-TCPIP.IP_DONTFRAGMENT,9
Microsoft-Windows-TCPIP.TfoHistogram,1
Microsoft.AAD.CloudAp.Provider.PluginInitialize_Start,1
Microsoft.AAD.CloudAp.Provider.PluginInitialize_Stop,1
Microsoft.AAD.TokenBrokerPlugin.Provider.Operation_Start,26
Microsoft.AAD.TokenBrokerPlugin.Provider.Operation_Stop,26
Microsoft.Antimalware.Scan.Interface.AmsiProvider,20
Microsoft.Antimalware.Scan.Interface.AmsiScan,1
Microsoft.Antimalware.Scan.Interface.AmsiUacScan,36
Microsoft.AppListBackupLauncher.AppListBackupLauncher,2
Microsoft.CAndE.ADFabric.CDJ.NgcPolicyCheck,10
Microsoft.ClipC.ClipGetLicenseAndPolicyForPfn,3
Microsoft.ClipSp.ClipSpInsertTBActivationPolicyValue,89
Microsoft.ClipSp.SpCanAppLaunch,136
Microsoft.ClipSvc.ClipInstallLicense_aggregate,5
Microsoft.ClipSvc.ClipSvcClose,254
Microsoft.ClipSvc.ClipSvcCloseStop,254
Microsoft.ClipSvc.ClipSvcOpen,254
Microsoft.ClipSvc.ClipSvcOpenStart,254
Microsoft.ClipSvc.ClipSvcTroubleshoot,6
Microsoft.Cortana.Windows.App.AppBootstrap_CreateSingletons,9
Microsoft.Cortana.Windows.App.AppBootstrap_Initialize,9
Microsoft.Cortana.Windows.App.AppState,9
Microsoft.Cortana.Windows.App.ApplicationStart,9
Microsoft.Cortana.Windows.App.BootPermissionsEnabled,3
Microsoft.Cortana.Windows.App.CompleteBackgroundTaskDeferral,10
Microsoft.Cortana.Windows.App.CompleteSuspendingDeferral,50
Microsoft.Cortana.Windows.App.Constructor,9
Microsoft.Cortana.Windows.App.CortanaGroupPolicyStatus,9
Microsoft.Cortana.Windows.App.DeferredConstructor_CreateServices,9
Microsoft.Cortana.Windows.App.DeferredConstructor_Initialize,9
Microsoft.Cortana.Windows.App.GetBackgroundTaskDeferral,10
Microsoft.Cortana.Windows.App.GetStoredUserOnStartup,9
Microsoft.Cortana.Windows.App.GetSuspendingDeferral,50
Microsoft.Cortana.Windows.App.HandleColdBootOperationsAsync,1
Microsoft.Cortana.Windows.App.LanguageChanged,9
Microsoft.Cortana.Windows.App.LogMessage,16
Microsoft.Cortana.Windows.App.OnBackgroundActivated_Measure_Cold,9
Microsoft.Cortana.Windows.App.OnBackgroundActivated_Measure_Warm,1
Microsoft.Cortana.Windows.App.OnResuming,1
Microsoft.Cortana.Windows.App.OnSuspending,10
Microsoft.Cortana.Windows.App.Perf_SilentSignIn,9
Microsoft.Cortana.Windows.App.ProcessStartup,9
Microsoft.Cortana.Windows.App.SignIn,9
Microsoft.Cortana.Windows.App.UserInteractionDialog,9
Microsoft.Cortana.Windows.App.VoiceActivationSuppressionStatus,2
Microsoft.Entertainment.Video.Core.BackgroundTaskEnd,5
Microsoft.Entertainment.Video.Core.BackgroundTaskStart,5
Microsoft.Entertainment.Video.Core.IngestionEnd,1
Microsoft.Entertainment.Video.Core.IngestionStart,1
Microsoft.Entertainment.Video.Core.MdlcPhaseEnd,1
Microsoft.Entertainment.Video.Core.MdlcPhaseStart,1
Microsoft.Entertainment.Video.Core.MdlcStart,1
Microsoft.Entertainment.Video.Core.SignIn,20
Microsoft.Gaming.Critical.ActiveUserUpdated,7
Microsoft.Gaming.Critical.ProviderRegistered,31
Microsoft.Gaming.Critical.ProviderUnregistered,12
Microsoft.Gaming.Critical.SessionStarted,18
Microsoft.Gaming.GameFlt.GameFltDriverStart,2
Microsoft.Gaming.GameFlt.GameFltUnmountAll,5
Microsoft.Gaming.GameOverlay.PageAction,40
Microsoft.Gaming.Install.FileCopyError,2
Microsoft.Gaming.Install.XvcDataSource_Remove,100
Microsoft.Gaming.XboxAppServices.Error,8
Microsoft.Gaming.XboxAppServices.SessionStarted,9
Microsoft.Gaming.XboxPC.ActiveUserUpdated,7
Microsoft.Gaming.XboxPC.AppAction,16
Microsoft.Gaming.XboxPC.AppLaunch,7
Microsoft.Gaming.XboxPC.SessionStarted,9
Microsoft.Geolocation.Service.UP_InitialState,9
Microsoft.NotepadApp.FileOpenComplete,4
Microsoft.NotepadApp.FileOpenStart,4
Microsoft.OSG.DU.DeliveryOptClient.DownloadCompleted,81
Microsoft.OSG.DU.DeliveryOptClient.DownloadProgress,25
Microsoft.OSG.DU.DeliveryOptClient.DownloadStarted,81
